edan_id	title	barcode	specimen_guid	media_count	media_guid	ids_id	USNM Number	Other Numbers	stain_status
edanmdm-nmnhbotany_2095387	Ageratum elachycarpum B.L. Rob.	00512770	http://n2t.net/ark:/65665/3d361b9b9-91d0-4a3d-9960-5961a89e24fa	1.0	http://n2t.net/ark:/65665/m3890da9ed-3b6d-40da-9f51-986c3c9680ec	NMNH-00512770	1404283		unstained
edanmdm-nmnhbotany_2135634	Horsfieldia bartlettii Merr.	00513412	http://n2t.net/ark:/65665/319872980-bd6d-409a-93db-e36671b1c2c9	1.0	http://n2t.net/ark:/65665/m374b20557-3460-4d9d-ba7d-854668676d0c	NMNH-00513412-000001	2275439		unstained
edanmdm-nmnhbotany_2102106	Hypericum crenulatum var. major Boiss.	00588520	http://n2t.net/ark:/65665/353447a40-80df-4892-ba0d-5fc900446185	1.0	http://n2t.net/ark:/65665/m3566c5f4e-c485-4c1b-a016-e99e490e9afe	NMNH-00588520	129657		stained
edanmdm-nmnhbotany_2167183	Asclepias brachystephana Engelm. ex Torr. in Emory	00588654	http://n2t.net/ark:/65665/3cd0feeeb-abcd-415c-8b43-339579096989	1.0	http://n2t.net/ark:/65665/m3330aaa7b-0613-4374-8ba0-fe00f837b962	NMNH-00588654-000001	18691		stained
edanmdm-nmnhbotany_10058633	Rosa nutkana C. Presl	00830428	http://n2t.net/ark:/65665/3b25f9073-4d33-4987-8e99-0d2e12007da5	1.0	http://n2t.net/ark:/65665/m356ec8e79-cc5b-4d87-8e3e-3859d18d6651	NMNH-00830428	94978		stained
edanmdm-nmnhbotany_2069741	Rubus hawaiensis A. Gray in Wilkes	00097914	http://n2t.net/ark:/65665/3a46a4fe9-be76-4866-98c4-373ce17fdc36	1.0	http://n2t.net/ark:/65665/m32439feb9-6af0-446c-b9c5-abcda1e716b4	NMNH-00097914-000001	42452		stained
edanmdm-nmnhbotany_10085802	Montanoa myriocephala B.L. Rob. & Greenm.	01049665	http://n2t.net/ark:/65665/3a049c4df-84ea-4f8d-bb1e-b4b5e9165669	1.0	http://n2t.net/ark:/65665/m365aafa90-60cc-426a-b011-84b9c94d5049	NMNH-01049665	238688		stained
edanmdm-nmnhbotany_10082810	Gomphrena decipiens S. Watson	00931475	http://n2t.net/ark:/65665/312f67e14-a17d-487c-aa89-179b0b3a780d	1.0	http://n2t.net/ark:/65665/m3a41fcb64-0709-4981-bf37-3aee04cb5144	NMNH-00931475-000002	939806		unstained
edanmdm-nmnhbotany_12086006	Acnistus pringlei Fernald	01268973	http://n2t.net/ark:/65665/3f28f4ffc-8bcb-4db3-8858-94062e9676bb	1.0	http://n2t.net/ark:/65665/m3b212238c-c207-440d-ab64-c670eb957f25	NMNH-01268973	460433		unstained
edanmdm-nmnhbotany_2108860	Aspilia rosei Greenm.	00385812	http://n2t.net/ark:/65665/3203496cf-1410-4313-8b0c-1d5e225878ea	1.0	http://n2t.net/ark:/65665/m3fe9d970d-72db-490d-a323-5eb952f791f2	NMNH-00385812-000001	301013	fiche number : 0934/E07	unstained
edanmdm-nmnhbotany_2112225	Salacia maburensis Mennega	00433221	http://n2t.net/ark:/65665/35eaace05-d4ae-42e0-a629-2a5ca8495462	1.0	http://n2t.net/ark:/65665/m3ef23ba67-b398-4e20-871b-af56ab54f438	NMNH-00433221-000001	3303507		unstained
edanmdm-nmnhbotany_2154838	Lupinus quercum var. perflexolobius C.P. Sm.	00003374	http://n2t.net/ark:/65665/391f150a2-9ae6-4fd8-843f-ed17da686f39	1.0	http://n2t.net/ark:/65665/m3e8915d3b-3505-4e34-a255-04e37b6cff6e	NMNH-00003374-000001	1805234	fiche number : 0396/A07	unstained
edanmdm-nmnhbotany_2095385	Solanum glanduliferum Hawkes	00027587	http://n2t.net/ark:/65665/3178bd5f4-8153-4a53-a976-247bf4510426	1.0	http://n2t.net/ark:/65665/m3ab3d2ecd-e9d5-443f-82d4-88dc3c401dc6	NMNH-00027587	1779268	fiche number : 0764/D04	unstained
